job_id,machine,job_type,priority,arrival_hour,arrival_hour_of_day,service_start_hour,finish_hour,wait_hours,service_hours,total_time_hours
12767,Wenzel WGT600,normalbit,3,1256.9478291745233,8,1260.5081586517508,1261.2497589815346,3.5603294772274694,0.7416003297837903,4.30192980701122
11703,Wenzel WGT600,forstabit,1,1260.8055751844684,12,1261.2497589815346,1261.5259017986023,0.44418379706621636,0.276142817067693,0.72032661413391
11791,Wenzel WGT600,normalbit,3,1260.8935735549674,12,1261.5259017986023,1262.2113466960955,0.6323282436349018,0.6854448974931988,1.3177731411281002
12332,Wenzel WGT600,forstabit,1,1261.950341129137,13,1262.2113466960955,1262.7247899741692,0.2610055669583744,0.5134432780737929,0.7744488450321114
12571,Wenzel WGT600,forstabit,1,1261.5688675347826,13,1262.7247899741692,1263.157825421312,1.1559224393865861,0.43303544714293185,1.5889578865294425
12730,Wenzel WGT600,normalbit,3,1263.003512217493,15,1263.157825421312,1263.5723489771947,0.15431320381912883,0.414523555882533,0.5688367597017532
13075,Wenzel WGT600,normalbit,3,1257.110451150566,9,1263.5723489771947,1264.322613171143,6.461897826628729,0.7502641939484294,7.212162020577125
12968,Wenzel WGT600,normalbit,3,1264.2425270075667,16,1264.322613171143,1264.7541307623671,0.08008616357642495,0.4315175912241347,0.5116037548004897
11931,Wenzel WGT600,forstabit,1,1266.174320893769,18,1266.174320893769,1266.6146169268702,0.0,0.4402960331013537,0.4402960331012764
13378,Wenzel WGT600,frekvensbit,2,1266.9548631203077,18,1266.9548631203077,1267.4756108302067,0.0,0.5207477098990363,0.5207477098990694
12447,Wenzel WGT600,forstabit,1,1270.9932313383429,22,1270.9932313383429,1271.4660128187718,0.0,0.4727814804289956,0.472781480428921
13220,Wenzel WGT600,forstabit,1,1272.9895461728686,0,1272.9895461728686,1273.5093326565552,0.0,0.5197864836865613,0.5197864836866302
12417,Wenzel WGT600,forstabit,1,1273.2459056144774,1,1273.5093326565552,1273.9921962482526,0.2634270420778648,0.48286359169740034,0.7462906337752884
11547,Wenzel WGT600,normalbit,3,1273.6696173974874,1,1273.9921962482526,1274.4203765479217,0.3225788507652396,0.4281802996690338,0.7507591504343054
13204,Wenzel WGT600,forstabit,1,1275.033256543905,3,1275.033256543905,1275.4122750372057,0.0,0.37901849330072335,0.37901849330069126
12584,Wenzel WGT600,forstabit,1,1278.260577427928,6,1278.260577427928,1278.891828725926,0.0,0.6312512979980429,0.6312512979980056
13021,Wenzel WGT600,forstabit,1,1278.6466835988845,6,1278.891828725926,1279.6802312189209,0.24514512704149638,0.7884024929949358,1.0335476200364155
12360,Wenzel WGT600,normalbit,3,1279.6249213200776,7,1279.6802312189209,1280.2863749716475,0.055309898843233896,0.6061437527265676,0.6614536515699001
12866,Wenzel WGT600,normalbit,3,1279.2327127630651,7,1280.2863749716475,1280.7634946863684,1.0536622085824092,0.4771197147209606,1.530781923303266
13001,Wenzel WGT600,normalbit,3,1279.1276405375431,7,1280.7634946863684,1281.3783437498776,1.635854148825274,0.6148490635092037,2.250703212334429
13263,Wenzel WGT600,forstabit,1,1281.3990263666813,9,1281.3990263666813,1281.7779981843807,0.0,0.3789718176994588,0.37897181769949384
12995,Wenzel WGT600,normalbit,3,1282.127444321085,10,1282.127444321085,1282.399020609956,0.0,0.2715762888710689,0.2715762888710742
12029,Wenzel WGT600,frekvensbit,2,1282.9862881392355,10,1282.9862881392355,1283.3186530544908,0.0,0.3323649152552407,0.33236491525531164
12044,Wenzel WGT600,forstabit,1,1285.3507439297136,13,1285.3507439297136,1285.754199555309,0.0,0.4034556255954526,0.4034556255953703
13281,Wenzel WGT600,normalbit,3,1286.13939902145,14,1286.13939902145,1286.5691244868922,0.0,0.42972546544219176,0.4297254654422886
12341,Wenzel WGT600,frekvensbit,2,1287.6955504799719,15,1287.6955504799719,1287.9544831768328,0.0,0.25893269686087805,0.25893269686093845
13017,Wenzel WGT600,forstabit,1,1289.3011758321795,17,1289.3011758321795,1290.0371504578475,0.0,0.7359746256679816,0.73597462566795
12637,Wenzel WGT600,normalbit,3,1291.9718363239647,19,1291.9718363239647,1292.5226925987172,0.0,0.5508562747523946,0.5508562747525048
13340,Wenzel WGT600,forstabit,1,1292.3502068791017,20,1292.5226925987172,1292.8785000253424,0.17248571961545167,0.35580742662517906,0.528293146240685
11928,Wenzel WGT600,normalbit,3,1292.1625587923218,20,1292.8785000253424,1293.4684949098828,0.7159412330206578,0.5899948845404004,1.305936117561032
13208,Wenzel WGT600,forstabit,1,1294.851347601009,22,1294.851347601009,1295.4462093953064,0.0,0.5948617942975576,0.5948617942974579
12435,Wenzel WGT600,normalbit,3,1296.343481672681,0,1296.343481672681,1296.9890987916547,0.0,0.6456171189736278,0.6456171189736324
13318,Wenzel WGT600,normalbit,3,1296.5121347536815,0,1296.9890987916547,1297.5535738403487,0.47696403797317544,0.5644750486939442,1.0414390866671965
12060,Wenzel WGT600,normalbit,3,1297.1080329707581,1,1297.5535738403487,1298.1844297256991,0.44554086959055894,0.6308558853505555,1.0763967549410154
12803,Wenzel WGT600,normalbit,3,1299.2142614576742,3,1299.2142614576742,1299.6545877387703,0.0,0.44032628109611505,0.44032628109607685
12822,Wenzel WGT600,normalbit,3,1299.3893191517807,3,1299.6545877387703,1300.1094039795605,0.26526858698957767,0.45481624079020166,0.7200848277798286
12555,Wenzel WGT600,forstabit,1,1299.8960468517887,3,1300.1094039795605,1300.8714441229447,0.2133571277718147,0.7620401433841636,0.9753972711559982
11271,Wenzel WGT600,forstabit,1,1301.754773620388,5,1301.754773620388,1302.358902044618,0.0,0.6041284242299625,0.6041284242298843
12049,Wenzel WGT600,normalbit,3,1302.2818591663927,6,1302.358902044618,1302.7981784811343,0.07704287822525657,0.4392764365162713,0.5163193147416223
12450,Wenzel WGT600,normalbit,3,1303.1037471009822,7,1303.1037471009822,1303.8255594424936,0.0,0.7218123415114699,0.7218123415113951
11753,Wenzel WGT600,forstabit,1,1303.5404209565843,7,1303.8255594424936,1304.426656921513,0.28513848590932867,0.6010974790194774,0.886235964928801
12214,Wenzel WGT600,normalbit,3,1303.5761553100901,7,1304.426656921513,1304.7526626667047,0.850501611422942,0.3260057451916253,1.176507356614593
11463,Wenzel WGT600,forstabit,1,1305.2702655865808,9,1305.2702655865808,1305.8239051707965,0.0,0.5536395842156159,0.5536395842157162
12907,Wenzel WGT600,normalbit,3,1305.3503267262906,9,1305.8239051707965,1306.2667402527727,0.4735784445058471,0.4428350819761807,0.9164135264820743
12530,Wenzel WGT600,forstabit,1,1306.0277187812278,10,1306.2667402527727,1306.629061607064,0.23902147154490194,0.36232135429119255,0.6013428258361273
13183,Wenzel WGT600,normalbit,3,1307.0986141307367,11,1307.0986141307367,1307.4711214165584,0.0,0.3725072858217152,0.3725072858217118
12127,Wenzel WGT600,normalbit,3,1307.3808112408515,11,1307.4711214165584,1307.8664177756468,0.09031017570691802,0.3952963590884464,0.48560653479535176
11934,Wenzel WGT600,frekvensbit,2,1307.6383773781488,11,1307.8664177756468,1308.432954415768,0.2280403974980345,0.5665366401212641,0.7945770376193195
11911,Wenzel WGT600,normalbit,3,1307.8268125526854,11,1308.432954415768,1309.0580799553172,0.606141863082712,0.6251255395490807,1.231267402631829
12220,Wenzel WGT600,forstabit,1,1309.023120345185,13,1309.0580799553172,1309.8876087684425,0.03495961013231863,0.8295288131253193,0.864488423257626
13243,Wenzel WGT600,normalbit,3,1307.9195827650503,11,1309.8876087684425,1310.3305989542675,1.9680260033921968,0.44299018582495714,2.4110161892172073
12089,Wenzel WGT600,normalbit,3,1311.1260211777117,15,1311.1260211777117,1311.6743947320374,0.0,0.5483735543256871,0.5483735543257353
12059,Wenzel WGT600,forstabit,1,1311.4079948941892,15,1311.6743947320374,1312.0226869182395,0.266399837848212,0.3482921862020929,0.6146920240503277
11221,Wenzel WGT600,normalbit,3,1311.756639629432,15,1312.0226869182395,1312.4753575483455,0.26604728880761286,0.4526706301060329,0.7187179189136259
12606,Wenzel WGT600,forstabit,1,1312.096598338343,16,1312.4753575483455,1313.3274677947431,0.37875921000249946,0.8521102463975728,1.2308694564001144
12564,Wenzel WGT600,frekvensbit,2,1313.02100424589,17,1313.3274677947431,1313.5997643925675,0.30646354885311666,0.272296597824376,0.5787601466774959
11709,Wenzel WGT600,forstabit,1,1313.4899280775558,17,1313.5997643925675,1314.3090564649283,0.10983631501176205,0.7092920723608007,0.8191283873725297
11468,Wenzel WGT600,normalbit,3,1314.1085942934055,18,1314.3090564649283,1314.8620604628773,0.20046217152275858,0.5530039979489961,0.7534661694717215
11567,Wenzel WGT600,normalbit,3,1313.293431030822,17,1314.8620604628773,1315.5208812345297,1.5686294320553316,0.6588207716524306,2.2274502037078037
13259,Wenzel WGT600,forstabit,1,1315.485531137308,19,1315.5208812345297,1316.098607311015,0.0353500972216807,0.5777260764853127,0.6130761737069861
11963,Wenzel WGT600,normalbit,3,1314.0893384876188,18,1316.098607311015,1316.8159293724198,2.009268823396269,0.7173220614046826,2.7265908848009985
12472,Wenzel WGT600,normalbit,3,1312.9646142402664,16,1316.8159293724198,1317.3658514110887,3.8513151321533314,0.5499220386689925,4.401237170822242
12507,Wenzel WGT600,normalbit,3,1313.673035758694,17,1317.3658514110887,1317.6427854004032,3.6928156523947564,0.2769339893145629,3.9697496417093134
12844,Wenzel WGT600,normalbit,3,1313.9103358651378,17,1317.6427854004032,1317.927928757901,3.7324495352654594,0.2851433574979581,4.017592892763332
12847,Wenzel WGT600,normalbit,3,1312.9568683581713,16,1317.927928757901,1318.5644495331128,4.971060399729822,0.6365207752117102,5.607581174941515
12963,Wenzel WGT600,normalbit,3,1313.9051368496587,17,1318.5644495331128,1319.011173495609,4.659312683454118,0.44672396249610413,5.106036645950326
12492,Wenzel WGT600,normalbit,3,1322.3844407772428,2,1322.3844407772428,1323.04415868734,0.0,0.6597179100973218,0.6597179100972426
11510,Wenzel WGT600,normalbit,3,1322.6205972396351,2,1323.04415868734,1323.4593459825096,0.4235614477049694,0.4151872951695972,0.8387487428744862
13262,Wenzel WGT600,forstabit,1,1324.6120481401344,4,1324.6120481401344,1325.2438747382425,0.0,0.6318265981081057,0.6318265981080913
12468,Wenzel WGT600,forstabit,1,1325.8779483949136,5,1325.8779483949136,1326.1790110157053,0.0,0.3010626207917082,0.30106262079175394
11312,Wenzel WGT600,normalbit,3,1326.2586890794337,6,1326.2586890794337,1326.7799719770767,0.0,0.521282897642962,0.5212828976430046
12733,Wenzel WGT600,forstabit,1,1326.553032560884,6,1326.7799719770767,1327.2080642043868,0.2269394161926357,0.4280922273100618,0.6550316435027526
11512,Wenzel WGT600,forstabit,1,1327.1178604384281,7,1327.2080642043868,1327.7201409777758,0.09020376595867674,0.5120767733889607,0.6022805393477029
13097,Wenzel WGT600,normalbit,3,1327.4174558994634,7,1327.7201409777758,1328.217260062242,0.3026850783123791,0.497119084466146,0.7998041627786279
11388,Wenzel WGT600,forstabit,1,1329.5363102730814,9,1329.5363102730814,1330.0956176989275,0.0,0.5593074258462006,0.5593074258461002
11830,Wenzel WGT600,normalbit,3,1330.4248438807417,10,1330.4248438807417,1330.8946503498391,0.0,0.4698064690975308,0.46980646909742063
13085,Wenzel WGT600,forstabit,1,1330.6820171121285,10,1330.8946503498391,1331.3847995145888,0.2126332377106337,0.4901491647497258,0.7027824024603433
11542,Wenzel WGT600,normalbit,3,1331.0875527578487,11,1331.3847995145888,1331.8843174383865,0.2972467567401509,0.49951792379771653,0.7967646805377626
12175,Wenzel WGT600,forstabit,1,1331.436667763219,11,1331.8843174383865,1332.4923392364217,0.44764967516744036,0.6080217980351621,1.0556714732026649
12142,Wenzel WGT600,normalbit,3,1330.5070568494375,10,1332.4923392364217,1333.1786776455824,1.9852823869841814,0.686338409160819,2.671620796144907
12597,Wenzel WGT600,frekvensbit,2,1332.7958890082957,12,1333.1786776455824,1333.6955514843037,0.3827886372866942,0.5168738387213623,0.8996624760079612
12219,Wenzel WGT600,normalbit,3,1330.8301557864756,10,1333.6955514843037,1334.1903935039152,2.865395697828035,0.49484201961151586,3.3602377174395315
12061,Wenzel WGT600,frekvensbit,2,1333.976052299583,13,1334.1903935039152,1334.7425220012694,0.21434120433218595,0.5521284973542261,0.7664697016864466
12923,Wenzel WGT600,normalbit,3,1330.803502109585,10,1334.7425220012694,1335.0373466635776,3.9390198916844383,0.2948246623082209,4.23384455399264
12961,Wenzel WGT600,normalbit,3,1334.0351244514927,14,1335.0373466635776,1335.4250102731291,1.0022222120849165,0.38766360955158163,1.389885821636426
11899,Wenzel WGT600,normalbit,3,1335.8665927355328,15,1335.8665927355328,1336.2098025150583,0.0,0.3432097795255107,0.3432097795255231
11544,Wenzel WGT600,forstabit,1,1337.747182851783,17,1337.747182851783,1338.4602849548542,0.0,0.7131021030711177,0.7131021030711509
11995,Wenzel WGT600,forstabit,1,1337.9531231429064,17,1338.4602849548542,1339.061778745765,0.5071618119477534,0.6014937909109059,1.108655602858562
13069,Wenzel WGT600,normalbit,3,1338.4662421289436,18,1339.061778745765,1339.5213812344325,0.5955366168213914,0.4596024886674988,1.0551391054889336
13275,Wenzel WGT600,forstabit,1,1339.6427302617,19,1339.6427302617,1340.1753032986835,0.0,0.5325730369835178,0.5325730369834218
11430,Wenzel WGT600,forstabit,1,1340.126495766161,20,1340.1753032986835,1340.607574728318,0.04880753252245995,0.43227142963450627,0.4810789621569711
12319,Wenzel WGT600,forstabit,1,1342.0373665699794,22,1342.0373665699794,1342.6893406792817,0.0,0.6519741093023088,0.6519741093022731
12515,Wenzel WGT600,frekvensbit,2,1342.0893264020742,22,1342.6893406792817,1343.119168749305,0.6000142772074923,0.42982807002307344,1.0298423472306695
11389,Wenzel WGT600,normalbit,3,1343.3000234583303,23,1343.3000234583303,1343.907604977541,0.0,0.6075815192107832,0.6075815192107257
12626,Wenzel WGT600,normalbit,3,1345.24777050458,1,1345.24777050458,1345.7074161830938,0.0,0.4596456785137315,0.45964567851365246
13298,Wenzel WGT600,normalbit,3,1345.4759586531775,1,1345.7074161830938,1346.4713468343984,0.23145752991626978,0.7639306513047235,0.9953881812209602
12506,Wenzel WGT600,frekvensbit,2,1347.1250206985828,3,1347.1250206985828,1347.4805862230144,0.0,0.35556552443162837,0.3555655244315403
12268,Wenzel WGT600,normalbit,3,1348.8800613370258,4,1348.8800613370258,1349.253300698311,0.0,0.3732393612851254,0.37323936128518653
11270,Wenzel WGT600,normalbit,3,1350.0804911584191,6,1350.0804911584191,1350.4666491251585,0.0,0.3861579667393856,0.3861579667393471
13371,Wenzel WGT600,forstabit,1,1351.196648191404,7,1351.196648191404,1351.877471268899,0.0,0.6808230774949511,0.6808230774950061
13121,Wenzel WGT600,forstabit,1,1351.9620340622082,7,1351.9620340622082,1352.4766484706543,0.0,0.5146144084459614,0.5146144084460502
12255,Wenzel WGT600,normalbit,3,1353.8616339718483,9,1353.8616339718483,1354.2886740823672,0.0,0.42704011051895546,0.4270401105188739
13226,Wenzel WGT600,normalbit,3,1355.1265091834464,11,1355.1265091834464,1355.885567441491,0.0,0.759058258044645,0.7590582580446608
12732,Wenzel WGT600,forstabit,1,1356.6739765582965,12,1356.6739765582965,1357.318476620641,0.0,0.6445000623443143,0.6445000623443775
12254,Wenzel WGT600,forstabit,1,1357.8651249542581,13,1357.8651249542581,1358.4166140219738,0.0,0.5514890677157466,0.5514890677156927
12854,Wenzel WGT600,normalbit,3,1358.8034339098858,14,1358.8034339098858,1359.3047523897637,0.0,0.5013184798779684,0.5013184798779093
12610,Wenzel WGT600,forstabit,1,1360.790739629568,16,1360.790739629568,1361.5133739616688,0.0,0.7226343321009012,0.7226343321008244
11786,Wenzel WGT600,forstabit,1,1360.9958473454856,16,1361.5133739616688,1362.0832165941697,0.5175266161832042,0.5698426325008876,1.0873692486841264
12199,Wenzel WGT600,forstabit,1,1361.2318029609148,17,1362.0832165941697,1362.695917677763,0.8514136332548787,0.6127010835933356,1.4641147168481439
11498,Wenzel WGT600,normalbit,3,1361.2685545901093,17,1362.695917677763,1363.24225707447,1.4273630876537027,0.5463393967070169,1.9737024843607287
